ZTF candidate ID,max alt hours after 7pm,max alt,ra,dec,candid,magap,magpsf,distnr,classtar,rb,filter
ZTF18aazwdvo,4.0,56.6039595021,345.2286206,51.6124508,630335301115010009,16.8596992492676,16.7828731536865,0.106454983353615,0.996999979019165,0.873333334922791,g
ZTF18abaqkbj,4.0,56.3042420296,342.3324292,51.9135031,630335301515010001,18.6648998260498,18.6358222961426,0.0929878801107407,0.984000027179718,0.879999995231628,g
ZTF18abccygn,4.0,56.2971643316,341.4034145,51.8881216,630335301515010000,17.3092994689941,17.3248233795166,0.171532735228539,0.995000004768372,0.906666696071625,g
ZTF18aayxhdw,4.0,56.0849445992,340.586451,52.0594815,630335301315010012,17.109899520874,17.0147743225098,0.0670553669333458,0.984000027179718,0.903333306312561,g
ZTF17aabvecb,4.0,56.0395968981,350.7666223,51.74399,630335300315010002,15.8534002304077,15.8649635314941,0.0162309743463993,0.998000025749207,0.876666665077209,g
ZTF17aaawpzx,4.0,55.999453906,346.3158453,52.1777497,630335300515015016,14.9383001327515,14.9899930953979,0.180688932538033,1.0,0.870000004768372,g
ZTF18aazwdho,4.0,55.8549044203,345.9765011,52.3373558,630335300515015020,16.7360000610352,16.7239933013916,0.249650090932846,0.984000027179718,0.850000023841858,g
ZTF17aabvdtx,4.0,55.7146165355,345.9351268,52.4795763,630335300515015005,17.8871994018555,17.8349933624268,0.300224512815475,0.972000002861023,0.879999995231628,g
ZTF18aazndtq,4.0,55.4567741379,347.4449735,52.6593304,630335300415010001,15.3773002624512,15.339940071106,0.263950437307358,1.0,0.856666684150696,g
ZTF18aaznedk,4.0,55.44438046,344.7039961,52.7843306,630335300815010002,15.6205997467041,15.6093530654907,0.134125888347626,0.986000001430511,0.866666674613953,g
ZTF17aabpjpf,4.0,55.4383434694,347.2189751,52.6922332,630335300515015001,16.2954006195068,16.1979923248291,0.223364531993866,0.996999979019165,0.876666665077209,g
ZTF18abadlcj,4.0,54.3374798777,351.5457525,53.3827761,630335301915010003,18.5972995758057,18.6101932525635,0.116488687694073,0.98199999332428,0.860000014305115,g
ZTF18abaswze,4.0,53.8174050535,348.2644328,54.2526092,630335302015010006,18.4071998596191,18.2632141113281,0.0419647134840488,0.980000019073486,0.883333325386047,g
ZTF17aaaedgm,4.0,53.4002253742,350.7187616,54.4437229,630335301615010001,17.2975006103516,17.2941417694092,0.244821220636368,0.995999991893768,0.860000014305115,g
ZTF17aabvevl,4.0,53.308639821,348.8530101,54.7198681,630335302015010000,17.5596008300781,17.5292148590088,0.0421733632683754,0.984000027179718,0.920000016689301,g
ZTF18abbugbe,4.0,50.7864624369,347.2086912,57.3661079,630335305415015010,17.1723003387451,17.1949768066406,0.243909895420074,0.998000025749207,0.856666684150696,g
ZTF18abynozb,4.0,36.1846603139,41.0692187,20.6426291,630339204515015001,17.5921993255615,17.6157855987549,2.5251898765564,0.982999980449677,0.860000014305115,g
ZTF18abyoiww,4.0,35.1489069672,40.2151646,11.2163367,630350752915015008,16.6854991912842,16.6750106811523,22.9343070983887,0.984000027179718,0.886666655540466,g
